,City,Country,Max Temp,Lat,Lng,Weather Description,Hotel Name
337,Hirara,JP,76.89,24.8,125.2833,overcast clouds,Hotel Atoll Emerald Miyakojima
338,Cabedelo,BR,75.87,-6.9811,-34.8339,broken clouds,Pousada Camboinha
344,Neyyattinkara,IN,84.06,8.4,77.0833,overcast clouds,KALPADIYIL
348,Sorong,ID,85.1,-0.8833,131.25,scattered clouds,Waigo Splash Hotel
350,Tirumakudal Narsipur,IN,81.18,12.21,76.9064,scattered clouds,Srinidhi food court
351,Balabac,PH,80.64,7.9868,117.0645,light rain,Batalla’s Lodging House
356,Kieta,PG,83.98,-6.2167,155.6333,scattered clouds,Uruna Bay Retreat
360,Porto Novo,BJ,75.09,6.4965,2.6036,scattered clouds,Tour Eiffel Hotel Benin
361,Maine-Soroa,NE,78.51,13.2114,12.0241,scattered clouds,Complexe
362,Jawhar,SO,85.03,2.7809,45.5005,few clouds,Hotel Shabelle
368,Canico,PT,75.0,32.6333,-16.85,heavy intensity rain,Quinta Splendida Wellness & Botanical Garden
379,Kahului,US,80.62,20.8947,-156.47,few clouds,Maui Seaside Hotel
384,Bijawar,IN,81.9,24.6333,79.5,clear sky,Shreya agro agency bijawer
385,Tiarei,PF,78.82,-17.5333,-149.3333,clear sky,Le Rocher de Tahiti
386,Buala,SB,84.13,-8.145,159.5921,light rain,Maringe Lagoon Lodge
391,Ambilobe,MG,86.31,-13.2,49.05,clear sky,Hôtel & Restaurant DIANA Ambilobe
393,Cayenne,GF,75.24,4.9333,-52.3333,broken clouds,Hôtel Le Dronmi
398,Bull Savanna,JM,75.6,17.8868,-77.5902,clear sky,Big Red's
399,Karaton,ID,84.29,-6.3424,106.1045,light rain,Parkir Mobil Wisata CAS Water Park
400,Eyl,SO,84.04,7.9803,49.8164,broken clouds,EYL AQUE SYSTEM
401,Bengkulu,ID,81.99,-3.8004,102.2655,overcast clouds,Grage Hotel Bengkulu
403,Yarada,IN,84.88,17.65,83.2667,clear sky,Yarada Jungle Beach Resorts
405,Maun,BW,77.27,-19.9833,23.4167,broken clouds,Enviro Villa
406,Puebloviejo,CO,83.03,10.9938,-74.2844,light rain,The Journey Hostel
408,Letpadan,MM,86.05,17.7833,95.75,clear sky,AUNG MYO KYAW
410,Cururupu,BR,77.76,-1.8283,-44.8683,broken clouds,POUSADA TRAVÉS'CIA
414,Lethem,GY,76.03,3.3803,-59.7968,broken clouds,Savannah Inn
415,Salinopolis,BR,80.71,-0.6136,-47.3561,overcast clouds,Salinas Park Resort Maçarico AP101
422,San Jose,US,75.45,37.3394,-121.895,clear sky,The Westin San Jose
423,Sabang,ID,81.25,5.8933,95.3214,overcast clouds,Hotel Citra
430,Limon,CR,75.06,10.0,-83.0333,overcast clouds,Hotel Playa Bonita
431,Ormara,PK,81.81,25.2088,64.6357,overcast clouds,Kenara Colony House for Rent
434,Kalabo,ZM,78.73,-14.97,22.6814,scattered clouds,Sikakubete Guest House Kalabo Town Council
439,Mwense,ZM,79.59,-10.3845,28.698,overcast clouds,Mwense Council Guest House
444,Kalmunai,LK,85.55,7.4167,81.8167,overcast clouds,VS Villa
448,Looc,PH,80.62,12.2605,121.9926,overcast clouds,Cummings Highlands
460,Mozarlandia,BR,83.01,-14.7447,-50.5706,broken clouds,Hotel Santa Mônica
470,Lavumisa,SZ,76.53,-27.31,31.892,broken clouds,ROADSIDE B&B
472,Dzaoudzi,YT,84.09,-12.7887,45.2699,few clouds,Le Rocher
475,Axim,GH,76.62,4.8699,-2.2405,light rain,Axim Beach Resort And Spa
476,Mahanoro,MG,77.38,-19.9,48.8,scattered clouds,BUNGALOW MAHAMANINA
486,Najran,SA,75.25,17.4924,44.1277,clear sky,محمد هادي ال فطيح
487,Mecca,SA,87.42,21.4267,39.8261,clear sky,"Makkah Clock Royal Tower, A Fairmont Hotel"
492,Ambovombe,MG,78.91,-25.1667,46.0833,clear sky,RELAHARA
